Symbol	Company_Name
SBS	Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR
SD	SandRidge Energy, Inc.
SEDG	SolarEdge Technologies, Inc.
SERV	Serve Robotics Inc.
SES	SES AI Corporation
SHEL	Shell Plc Sponsored ADR
SKYT	SkyWater Technology, Inc.
SKYX	SKYX Platforms Corp.
SM	SM Energy Company
SMR	NuScale Power Corporation
SO	Southern Company (The)
SPXC	SPX Technologies, Inc.
SRE	DBA Sempra
STRT	STRATTEC SECURITY CORPORATION
SU	Suncor Energy Inc.
SYM	Symbotic Inc.
TAC	TransAlta Corporation
TALO	Talos Energy, Inc.
TE	T1 Energy Inc.
TGLS	Tecnoglass Inc.
TGS	Transportadora de Gas del Sur SA Sponsored ADR Class B RegS
THR	Thermon Group Holdings, Inc.
THRM	Gentherm Inc
TLN	Talen Energy Corporation
TRGP	Targa Resources, Inc.
TWI	Titan International, Inc. (DE)
TXNM	TXNM Energy, Inc.
TXO	TXO Partners, L.P.
VELO	Velo3D, Inc.
VIST	Vista Energy SAB de CV Sponsored ADR Class A
VLO	Valero Energy Corporation
VLTO	Veralto Corp
VST	Vistra Corp.
WAB	Westinghouse Air Brake Technologies Corporation
WEC	WEC Energy Group, Inc.
WMS	Advanced Drainage Systems, Inc.
WOR	Worthington Enterprises, Inc.
WSO	Watsco, Inc.
WTI	W&T Offshore, Inc.
WWD	Woodward, Inc.
XEL	Xcel Energy Inc.
XOM	Exxon Mobil Corporation
YETI	YETI Holdings, Inc.
YORW	The York Water Company
YPF	YPF SA Sponsored ADR Class D
ZWS	Zurn Elkay Water Solutions Corporation
